Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
CR 406,where is the technician?,0,0
AH 400,how to log in?,0,0
AH 400,how to turn on the projector.,0,0
SK 222,"""it's not coming on, i'm not sure if i need to press something or is it just warming up""",0,0
BL 205,needs assitance getting set up.,0,1
CR 103,"""is there a switch to turn the heat up or down""",0,0
MY 480,how to get the sound playing for the class.,0,1
BA 1220,projector on please,0,0
SS 1083,no image on screen. mac laptop,0,1
MS 2172,projector won't turn on with send to projector or projector control.,0,1
OI 4426,no image on screen,0,1
MS 2172,"""i still really need your help, no one has arrived""",0,0
BF 316,resolved,0,0
HS 715,turn on display.,0,0
MP 203,caretaking,0,0
MY 320,4 of the 6 displays turned off on their own.,0,0
WO 30,network connection currently not available,0,0
ES B142,resolved,0,0
LM 157,turned off the projector and won't turn on now.,0,0
MB 128,projector is showing on in roomview express but there is no sign of life in the room,0,1
WB 119,all good.,0,0
BA 2195,keyboard and mouse are missing.,0,1
SK 720,resolved,0,0
ES 1050,video being played comes out as garbled.,0,1
MR 6,operator console restart,0,0
ES B142,no audio in room.,0,1
MB 128,projector issue still not resolved.,0,1
OI 2296,laptop left in class,0,0
BA 2175,can't find the projection screen controls.,0,0
OI 2214,not sending to projector,0,1
SS 2118,"""wireless mic is not working""",0,0
WB 130,checking in to make sure everything was okay with the room,0,0
SS 2106,no image displaying,0,0
SS 1083,"""how to do i turn on the machine...oh wait i got it""",0,0
LM 162,need batteries,0,1
BL 538,sound not sending to room speakers,0,0
WO 25,enable,0,0
SK 720,no projected image,0,0
BL 538,"sound not sending to room speakers, again.",0,0
MC 252,after hours,0,0
BA 1240,after hours,0,0
SS 1074,system not powering on,0,0
BT 101,none of the a/v equipment is working. power is on but moving the mouse/hitting keys/touching the screen does nothing. touch screen has some illegible jargon on it... ,0,1
BL 538,desktop pc frozen ,0,1
ES 1050,no image. they can't hear me because intercom is breaking up. ,1,1
BA 2175,keyboard missing,0,1
MS 2158,will need batteries at next change over...on last set,1,0
BL 313,projector not turning on ,0,1
BA 2175,following up on keyboard,0,0
UC 244,projector not turning on,0,0
SS 2111,projector keeps shutting off,0,0
SS 2120,tv not coming on?,0,1
MY 320,computer fan is working ot and very loud. could be a concern?,1,1
OI 2212,ts frozen,1,1
MR 6,tm e crash,0,0
WB 119,log in ,0,0
SS 1072,crestron unit not on,0,0
OI 5260,the audio isn't playing. they didn't respond to me when i asked them a question. they just started the lesson. ,0,1
SS 2125,projector not turning on,0,0
WI 1016,login,0,0
SS 581,tv isn't working,0,0
WE 69,monitor not turning on,0,0
OI 10200,system turned off,0,0
WW 121,no image on screen,0,0
OI 8170,projector not turning on,0,0
LM 162,batteries,0,1
BA 1130,login,0,0
MY 317,*my 315a no image on preview,1,0
SS 2110,projector turned off,0,0
SS 1088,"""can't get sound through hdmi on device""",0,0
RW 142,how to mirror display on macbook,0,0
SS 2106,internet down in room,0,0
BF 316,one of the zoom participants can't hear,0,0
OI 2279,system shut off,0,0
SS 2110,tsjr became disabled,0,0
OI 2279,tsjr became disabled,0,0
SS 1073,turn on mic,0,0
SS 2116,amy testing intercom,0,0
OI 2279,tsjr became disabled,0,0
BA 2179,not turning on,0,0
BA 2185,no image on preview. checked mirror settings to no avail. tried hdmi 1 and 2... ,0,1
BA 2179,monitor not turning on,0,0
SS 2127,projector only goes half way down,0,1
MR 6,delivery for 4 bancroft ave. wrong extension.,0,0
OI 2205,no image on screen.,0,0
PB B150,wanted to know if they could do presenter view on desktop pc,0,0
MY 360B, hdmi is showing on preview but not on tv screens after sending to projector,1,1
MP 202,"problems w/desktop pc, asked for help from technician without getting into specifics",0,1
MB 128,batteries,0,1
HS 614,projector turned off,0,0
HS 610,help arrived,0,0
BL 313,"""not working""",0,0
MC 254,turn on projector,0,0
OI 2212,"stuck on ""the system is shutting down. please wait"" for several minutes now",0,1
SF 1105,"image on screen, but not on touchscreen",1,0
OI 5260,system not turning on,0,0
WB 119,no image ,0,0
BA 2159,ba 2159 projector screen is black. ,1,1
RL 14190,solved,0,0
OI 2212,following up ,0,0
BA 1190,solved,0,0
MR 6 ,operator restart,0,0
ES B142,"the power outlets ""on the first row of seats"" are ""fried""(unclear european accent) ",1,0
BA 2159,system not responding,0,1
SF 3202,no sound on wireless mic,0,1
EM 001,adapter in room missing,0,1
SS 1074,tsjr not responding,0,0
BA 2159,following up (think it's a ca),0,0
SS 1084,power not on and system is buzzing,1,0
MS 3154,call regarding 1800 class in this room and moving to a hybrid model due to weather,0,0
HS 618,tsjr not responding,0,0
MP 137,having issues with his own device powering off. looking to potentially download files onto desktop pc but neds help,0,1
MS 3154,batteries,0,1
LM 157,already solved,0,0
MR 6,operator restart,0,0
KP 108,no sound from laptop,0,0
OI 2295,oi 2295 is having issues with the hdmi. there's a language barrier so he asked for someone to come to the room,0,1
BA 1180,log in issues; no hdmi image,0,0
MP 134,"student event, no av booking",1,0
MY 420,"user says she can't bring up the room pc on the touchscreen, so she's not able to log out of some things she's logged into in windows",0,0
OI 7192,login request,0,0
BA 2155,"wireless mouse needs batteries: ""someone has removed the back and the batteries - i can see that the batteries are physically missing""

she claims it takes aas. but the wireless mice are aaas, ya?
",0,1
MY 440,"he's having trouble getting his image up.

hdmi cables are labelled 1 and 2, but touchscreen says laptop and doc camera.

room pc is working, when sent to tvs.

it might be an easy fix, but i'm having a hard time isolating whether he's sending the wrong source to tvs. or is there a larger issue.",0,1
OI 5230,project not turning on,0,0
RL 14190,tv timed out,0,0
OI 2214,tried to plug own mic into jr station,0,1
WI 1016,"event is done, mics are ready to be picked up",0,0
PB B150,"noticed that pb b150 is disconnected in talkmaster app, roomview, and fusion",1,0
PB B150,"james buzzing in to confirm that pb b150 is back online. the person filming for streaming had to use the ethernet cable/port. that's plugged back in now, and we're back online.",0,0
MS 3278,how to use the teaching station and where is the technician?,0,0
MC 102,jon testing intercom.,0,0
MS 2158,clive browning- ms 2158 would like someone to help interface his personal tablet with our desktop pc. ,0,1
MY 430,student display 4 is showing no signal. all other displays working.,0,1
MY 315,can't log in.,0,0
MB 128,projector no turning on,0,1
WB 130,room pc wouldn't show up on the preview.,1,0
SS 2104,laptop hdmi image wasn't showing up.,0,0
HS 100,no macbook hdmi image.,0,1
HS 100,they got it working with the other usb-c dongle.,0,0
BA 2135,can you login me in?,0,0
WI 524,can't get hdmi 1 image on the preview nor projector.,0,0
MY 380,saying wifi is patchy,0,0
SS 581,seeing their desktop background on the display and not their slides.,0,0
BA B025,no laptop hdmi image.,0,0
OI 4420,waiting on a web cam,0,1
BA 2155,no audio from teams,0,0
NF 003,usb-c dongle.,0,1
MY 360B,login (ta),0,0
MS 3278,login (ta),0,0
SF 3202,usb-c dongle doesn't work.,0,1
GB 304,login (ta),0,0
UC 144,no image,0,0
HS 705,"""can you turn on projector""",0,0
HS 705,"""i'm trying to play a video but i'm not getting any audio from the speakers, it's all coming out of my laptop""",0,0
OI 8180,"""projector isn't working"" -> ""it says no input""",1,1
SS 2102,loud continuous tone sound in the room.,1,0
SS 2110,asking if a tech2u was still being delivered,0,0
UC A101,already solved,0,0
SK 702,problem is solved.,0,0
SF 1101,already solved -trying to open the mic cabinet,1,0
SS 2110,looking for their tech2u station.,0,1
KP 108,already solved,0,0
SS 2117,mics not working,0,0
SS 2106,projector turned off on its own.,0,0
SS 2110,still looking for their tech2u station.,0,0
BA 1130,aa batteries.,0,1
ES 1050,ca testing intercom.,0,0
BA B024,projector image was blinking after 5 minutes of stability.,1,0
AB 114,lost their image with the anker dongle after 5 minutes. projector stayed on.,1,0
RL 14190,colours off on monitor/sound very low unable to adjust it,0,1
BA 1220,wireless keyboard not working.,0,1
SF 3202,needs aa batteries.,0,1
SF 2202,"projector not turning on, flashing red light",0,1
UC 161,"not sure what problem is ""everything is broken""/ wasn't logged in, declined remote support",0,1
GB 248,touchscreen is frozen.,0,1
SF 2202,james needs remote assistance with resolving issue.,0,0
MY 350,figured it out.,0,0
MS 2158,asking if audio level on occs could be turned up based on past recordings,0,0
BA 1230,room pc is showing as black.,0,1
RW 117,647-390-1082 wireless mic not working,0,0
MY 350,displays turned off on their own.,0,0
WW 126,remote login.,0,0
BA 1230,reboot didn't work. still getting a blue screen.,0,1
ES 1050,matt checking intercom.,0,0
WW 126,already solved,0,0
WW 120,can't see slides on the preview.,0,0
SS 2117,matt testing intercom,0,0
MY 330,login,0,0
OI 2296,can't get screen down,0,0
MY 330,hdmi cables not working,0,1
MY 490,log in request,0,0
BA B024,fixed it,0,0
GB 248,none of the adapters in room fit my computer,0,0
MC 254,can't find the mouse,0,1
SS 2117,prof can't get zoom and powerpoint to talk to one another,0,1
MC 254,mouse found,0,0
MC 254,wanted volume louder on room pc,0,0
OI 2214,couldn't hear the audio,0,0
MS 2158,needed batteries,0,1
BA 1240,needed batteries,0,1
MS 2158,the clip for the mic is broken and also the door to back of cabinet of the podium is open in ms 2158,0,1
BA B024,says all but 1 usb slot is working but wants more then 1,0,1
BA 2155,wanted us to log them in when they were already logged in,0,0
MC 102,already fixed,0,0
MY 350,had it on the wrong input,0,0
MY 420,log in request,0,0
OI 5170,prof just needs a walk through on how to use the podium they're class doesn't start until 7pm,0,1
LM 159,projector issue ,1,1
MY 350,everything is blank,0,1
MY 360,slides not showing,0,1
WW 120,prof says keyboard and mouse aren't working,0,0
GB 248,log in request,0,0
GB 221,needed help lowering projector screen,0,0
MY 350,has a black screen,0,1
BL 205,647-992-2609 no image. prof is convinced that adapters on cables aren't removable,0,0
CR 103,login request,0,0
SF 3202,enable,0,0
UC 144,locked out of room in uc 240,0,0
MY 420,"needs a mini-dp-to-hdmi adapter for mac, says there isn't one ziptied in the room",0,1
BL 313,"instructor says projector not coming on

it's showing up at my end as ""on"". i tried disabling and reenabling, but he says there's no light coming out of projector at his end.",1,1
MY 430,"""i can't login to the computer""",0,0
BA 2139,"can't get her image up from windows laptop

projector is on, she can see light coming out of it

unplugging & replugging adapter didn't work, and she's set to ""duplicate screen""",0,1
EM 001,wifi connection issues with ipad,0,0
WI 1016,login request,0,0
UC 144,no input from terminal,1,1
UC 261,"mentioned there's no ethernet port on her computer, she doesn't have an adapter, so she's not sure how to login.",0,0
ES 1050,wireless mic is missing,1,1
KP 108,"instructor says the wireless lav is missing

he's started the class with the podium mic

when he started with the podium mic, it was feeding back so badly until he muted the lav on touchscreen that i suspect it might be somewhere in the room?",1,1
BA 2139,chalk request,0,0
WW 121,"not logged, no display",1,0
MP 137,"""the teaching station is stuck on logoff""",0,0
WB 130,enable,0,0
AB 114,emergency sound,0,0
MS 3153,projector not displaying,0,0
BA 1160,sent an email requesting. called from 647-913-9828,1,0
MY 360B,engage,0,0
SF 1101,no aa batteries,0,1
BA 2165,i'm having trouble logging in,0,0
SS 2102,ta wants to use microphone in room,0,0
Wi 1017,"says wireless mic batteries are out, and the pouch only has 4x aaas",0,1
LM 161,"""can you log me in - the touchscreen won't let me control it""",1,0
SS 1087,no one answering,0,0
BA 1190,remote login,0,0
OI 5170,"touchscreen not on, got them up & running remotely via remote access",0,1
UC 140,confusion - ,0,0
MY 360B,login request,0,0
WW 119,"she just buzzed in and said ""it's the same problem as last week, can you send someone?""",0,1
BT 101,"instructor says that his image isn't coming up. says that this happened last week, and a technician had to come ",0,1
MS 3278,engage,0,0
WB 119,"""can you log me in remotely? it says: ""authorization failed""""",0,0
MP 202,screen is black,0,1
RL 14190,big screen isn't coming on,0,0
UC 161,"login request, booked as ""rcsg case finals"", it's an s-class",1,0
PB 850,no display,0,0
MY 315,complaining about temperature in room,0,0
BA 2185,login,0,0
ES 4000,"""i was having trouble, but now it's working""",0,0
OI 2212,system freezes while logging off,1,1
BA 2195,needs chalk,0,0
SS 1086,"""sorry i didn't mean to press it""",0,0
BA 1220,"""the image appeared, but then it disappeared""",0,0
MY 360B,"""most of the displays in this room are off - how do i turn them on??""",0,0
OI 2212,"""the system is stuck on 'shutting down', it would be nice to have a working system""",1,1
GB 244,screen stuck in log off prompt ,0,0
MY 150,hdmis not working,1,1
OI 2214,enable,0,0
BA 1160,windows taskbar showing in ppt,0,1
MC 102,screen not duplicating & no sound,0,1
BA 2155,screens not displaying,0,0
MY 350,after hours call,0,0
BA 2185,after hours call,0,0
TF 101,no answer,0,0
BR 200,no answer,0,0
OI 8201,after hours call,0,0
OI 8214,after hours call,0,0
BA 1130,after hours call,0,0
AH 100,letting us know that chrome shortcut on desktop pc isn't working,1,0
ES 1050,crestron screen powering off spontaneously,1,0
NF 003,"projector is not showing image. pressing ""send to projector"" with hdmi1 source to no avail. tried windows + p to no avail.",0,1
OI 8280,display mute not turning off in room,0,0
OI 4422,no audio. ,0,1
MY 440,no mouse at station,0,0
MB 128,touch screen doesn't work. ,0,1
OI 2205,no image,0,1
MC 254,batteries,0,1
BL 114,teaching station not working,0,0
MY 420,the podium mic is apparently not plugged in,0,1
HS 108,login,0,0
MY 480,"a student is trying to connect windows laptop to screen 1. ""cannot operate..."" error. tried windows + p. prof is able to send sources to that screen",0,1
ES B149,login,0,0
AH 107,login,0,0
GB 304,log in,0,0
BL 313,projector not turning on. attem,1,1
MS 4171,didn't know how to turn on projector,0,0
MS 2173,log in failure,0,0
SS 2104,needs an adapter for their 2017 mb air,1,1
PB B250,door is locked to classroom,0,0
OI 5290,some problems with the image being intermittent on the screen ,0,1
SS 1070,projector not turning on,0,0
UC 256,projector turned off midclass ,0,1
OI 10204,station randomly turned off,0,0
MS 2170,log in,0,0
SS 2114,no hdmi connection. user said last week it was a dongle issue.,0,1
PB 850,log in,0,0
BA 2159,the image on screen is blurry. ,1,1
OI 5170,1:00:00 pm class - prof called because she forgot her powercable for her laptop and wondered if we may have an extra. was asking for a computer as backup,0,0
BA 2195,log in,0,0
SF 1105,touch screen is blue,0,1
BL 114,not letting her connect to ethernet connection or wireless,0,1
BL 114 ,tm crash mid-call,0,0
SS 2135,resolved,0,0
PB B250,"he needs some assistance in getting going. it's loud, the room was locked so they're starting late. they're frustrated and can't communicate with what the issue is exactly.",0,1
MR 6,tm crash,0,0
RL 14190,no image on screen,0,0
MY 420,resolved,0,0
MR 6,tm e crash,0,0
LM 161,log in,0,0
GB 221,batteries,0,1
LM 162,"""hi could you log me in? my password is super long and it'll take an hour to type with this touchscreen""",0,0
MP 202,room pc is turned off ,0,1
GB 303,"""wrong button, sorry!""",0,0
BL 112,re-enable,0,0
ES 4001,image not showing on preview but up on screen,1,0
UC 69,no audio,0,0
PB 850,"touchscreen is frozen, trying to turn off the projector",1,0
MP 203,batteries,0,1
OI 2212,screen isn't coming down,0,0
MS 2172,login,0,0
MP 202,screen only showing on side screen,0,0
UC A101,no image,0,0
UC A101,no image again,0,0
MS 3153,having issues with image. they took a break and now no image on screen. ,0,1
OI 3311,hdmi became unplugged and they lost image,1,1
SS 1078,resolved,0,0
MR 6,tm e crash,0,0
MY 350,no image,0,0
NF 003,keyboard batteries are dead,0,1
MY 315,no image,0,0
MS 2172,"they reported that ""half the screen fell down"". not sure what that meant, but they then pulled down a second screen and were fine.",1,1
MR 6,tm crash,0,0
MR 6,"talkmaster app kept dinging during call, needed to be re-started",0,0
BA 2145,log in,0,0
RL 14190,"instructor can't get her image up. said ""this happened a couple of classes ago, and the technician just showed up and pressed a button""

i get her to unplug & replug her adapter, and tried switching to hdmi and vga, and she says she's already set to mirroring. nothing seems to do it.
",1,1
SS 1070,no image using ipad,0,0
UC 261,"instructor can't get it to turn on.

i can't turn it on remotely either. tried disabling, then re-enabling in fusion, roomview, and jr control page. no reaction 🤷🏻‍♂️ doesn't seem to be coming on in the room at all",1,1
SS 1070,"""can you please turn on the projector, the power button doesn't seem to be working in the room""",0,0
GB 221,"""can you send some batteries for the wireless microphone, please?""",0,1
MS 3278,"""can you send it up to the projector please""",0,0
OI 10200,"""they were setting up a projector for me, but now the image is only on the pc they delivered, not on the big screen behind me""",0,0
SF 1101,request for login,0,0
WI 523,"was having trouble logging in - logged them in.

subsequently had trouble getting into extended mode - had to send amy in the end.",0,1
CR 103,login request,0,0
OI 5290,"all my tools for remote access can enable, but they can't successfully turn the tv on

when she presses the button, she says ""the light comes on,"" but then the tv doesn't seem to stay on",1,1
SS 2106,no remote access,0,1
SK 114,"""the projector doesn't seem to want to come on""

remote access tells me the room is enabled and the projector is coming on... but instructor says it's not coming on in the room. i can't hear the ""projector on"" or ""off"" sounds over the intercom, either.

pressing the on button on the crestron control panel in the room didn't turn it on for him, either.",0,1
CR 403,projector not on,0,0
OI 2279,projector isn't coming on,0,0
MY 150,permanent marker on the whiteboard,0,1
OI 4422,oi 4422 has a black crestron screen.  ,0,1
CR 404,"""can you please turn on the hdmi? it's off""",0,0
ES 4001,no image,0,0
PB B150,door to lecture hall is locked,0,0
SS 1071,"""it says there's a network failure, it's not letting me log in""",0,0
RW 140,assist,0,1
SK 702,resolved,0,0
BT 101,"instructor complains that batteries have been low or empty several times this term, for the wireless lav mic pack.",0,1
NF 003,projector is not turning on via remote as per instructions,0,1
SS 2125,"""i'm having trouble playing my video, i moved it off to the side of the screen, but it's playing twice, on top of each other. and i can't figure out how to start it.

and a technician is supposed to meet me here""",0,0
WO 30,battery,0,0
WB 119,"wb 119 is having issues with the projector. left was stuck on ""warming up"" but never turned on. right is not turning on at all. it's an ipad so we also tried rebooting, turning the dongle upside down etc..",0,1
AH 100,he got admin 12345678,0,0
UC 140,"""i'm trying to use the room pc, but i'm just getting a black screen""",0,0
BA 2159,"""the tv is working, it just powered up""",0,0
UC 140,mic not working,0,0
OI 5170,"""i can't see my slides, all i see is a computer screen""",0,0
HS 100,couldn't figure out how to log on to internet via ethernet cable,0,0
BA 1190,"""the audio isn't working from room pc - it's just playing through the tiny pc speakers""",0,0
OI 5150,"instructor is wondering if we can send a ca to the room for 1pm? she has a guest presenter coming, and wants to be certain that that person can get audio up & running okay if she's showing a video (this instructor has had problems getting audio going in the past)",0,1
HS 106,how do i connect the audio from room pc to room speakers? -> how do i run a zoom session on the room pc? -> can i run just the audio through the speakers without projecting the video? -> can i extend my display using room pc and the projector?,0,0
MS 2158,"""can you help me log off zoom and all my accounts, to make certain that i'm logged out?""",0,0
UC A101,not getting any image on any of the screens (teal room),1,1
OI 2286,projector not on,0,0
UC 179,resolved,0,0
AH 400,"can't figure out how to get the audio to send to ""the projector"" in the room",0,0
SS 2135,coffee spill on the stairs,0,0
WI 523,"""could you turn on the hdmi so i can use my personal computer?""",1,0
UC 65,resolved,0,0
SF 2202,"""the board is not working""",0,0
SS 2111,ss 2111 is having trouble getting the image up. i tried to walk them through mirror settings but there is a communication gap,1,1
HS 715,no hdmi image in hs 715,0,0
RL 14190,"they say tv turned of in middle of class, not coming back on.

i don't seem to have remote control over display on/off. it's weird: it'll let me switch between hdmi and vga, but she says it's off in the room 🤷‍♂️",1,1
MY 420,"instructor says 4 of the displays were working, then they all turned off

remotely, i was able to get #4 and #6 to turn on, but he says they're on but not displaying his image.

#1, #2, and #3 are not turning on (according to instructor), even when they show up as ""on"" in the display power tab of the xpanel",1,1
SK 222,"""the projector turned off during the break""",0,0
GB 220,"""sorry, it's just a mis-touch""",0,0
PB B250,no hdmi image,0,0
BA 2185,"says batteries are out, looking for replacement",0,1
SK 418,needs an hdmi to thunderbolt adaptor,0,1
MR 6,roomview restart,0,0
SK 702,projector turned off,0,0
MC 102,ipad to projector issue,0,1
BA 2135,wanted access to the podium,0,0
MS 2172,log in,0,0
MY 330,previous prof left a window open and i can't close it,0,0
SS 2106,projection issue,0,1
UC 261,projector ,0,0
PB 850,wanted to use the podium mic,0,0
GB 248,log in,0,0
SS 2117,needs batteries for lapelle mic,0,1
GB 244,log in,0,0
SK 720,projector issues,0,1
SK 418,wanted us to know their class is done ,0,0
SS 2127,projector issue,0,1
CR 103,enable,0,0
OI 5290,arrived completely unprepared for class - no adapters and no knowledge of the teaching stations. asked a tech to swing by with adapters to see if they couldn't get them started.,0,1
SK 218,can't connect to station,0,0
OI 3311,no image,0,0
NF 003,no image displaying on projector,0,0
BA 1160,touchscreen is black mic is missing,0,1
MC 254,"""the microphone is broken""",0,0
OI G162,"projector not turning on, nor is it turning on remotely",0,1
ES 4001,"""no image""",1,0
WB 119,login,0,0
OI 2214,projector not displaying laptop source (via dongle),0,0
ES 1050,already solved,0,0
MR 6,tm e crash,0,0
OI 2279,projector not projecting,0,1
UC 256,projector turned off midclass ,0,1
OI 10204,station randomly turned off,0,0
SS 2120,display turned off,0,0
WW 121,no image sending to projector,0,0
WO 25,no image sending to projector,0,0
WE 75,monitor not turning on,0,0
NF 003,projector not turning on,0,0
MC 254,image not sending to projector,0,0
LM 159,batteries,0,0
MS 3153,batteries need to be re-upped,0,0
BL 313,no audio; laptop sent to right input,0,1
SS 2135,image sending to projector but not showing up in the preview window,1,1
CR 405,already solved,0,0
PB B255,wanted to know how to connect usb keys to the podium,0,0
WI 1016,batteries,0,0
MY 360B,airmedia not connecting,0,1
NF 003,projector not turning on,0,1
LM 162,enable,0,0
LM 162,previous prof left a power supply in class,0,1
WB 119,source not sending to left projector,0,1
OI 5170,doesn't know how anything works.,0,1
RL 14190,source not sending to display,0,0
ES 4001,preview window not displaying...using desktop pc,0,1
SS 1087,not sure. said they'll call back post-class,1,0
MC 254,already solved,0,0
GB 303 ,no image,0,0
ES B142,no power in the outlets in the room,0,0
SS 2120,"monitor not turning on, need help setting up zoom",0,0
HS 618,no answer,0,0
UC 179,mic missing,0,0
SF 3202,wanted to move the projector and decrease the size it takes up,0,0
SS 1087,preview screen not working and loud intermittent sound coming from podium,0,1
SS 1086,no audio,0,1
GB 119,"""am i recording?""",0,0
WI 524,wireless keyboard batteries are dead,0,1
HS 618,image not sending to projector,0,1
HS 696,system logged out,0,0
MC 254,"unable to get image, tried both hdmi cables, no mirroring options present themselves when hitting windows + p",0,1
SS 2120,can't get the screen to recognize the signal from laptop,0,1
GB 220,they figured it out,0,0
MY 430,chairs are missing from the room,1,0
OI 5250,no image,0,1
UC 67, ,0,1
OI 2295,blue screen ,0,0
LM 155,no power,0,0
UC 175,projector not turning on,0,0
MY 150,timer isn't projecting,0,1
OI 2212,needs batteries for lapel mic,0,1
SS 1087,preview screen is frozen but projector screen works,0,1
MY 317 ,couldn't find code for air media,0,1
WB 119,log in request,0,0
MY 317,called back about the same request,0,0
GB 304,log out request,0,0
WO 35,log in request,0,0
OI G162,after hours,0,0
MR 6,tm e crash,0,0
BA 2185,ta login for ba 2185 and ba 2135.,0,0
BA 2135,no audio,0,0
WW 119,"no laptop hdmi image on tv displays,",0,0
MS 2170,no batteries,0,1
MY 420,touchscreen is flickering.,0,1
OI 4420,no input display,1,1
SK 720,problem with cable,0,0
MC 252,no display,0,0
BL 114,projector not turning on.,0,1
SS 2108,won't switch to hdmi.,0,0
BL 205,"no display, would not elaborate but has hdmi selected",1,1
UC 144,no display,1,1
HS 614,"no display, engaged",0,0
OI G162,glx out of battery and spare didn't charge.,0,1
MB 128,problem solved.,0,0
MB 128,keyboard not working.,0,1
MR 6,picked up call on tm w and disappeared after tm e picked it up.,0,0
OI 2214,"no display, could not duplicate",0,1
ES 1050,where is the audio cable? can't get audio through hdmi.,0,1
EM 001,no display when sending to projector this am,0,1
UC 144,no image again,0,0
GB 303,macbook and ipad image come up then are lost after a few minutes.,0,1
OI 8280,intercom keeps dropping and can't figure out what they need.,0,1
BA 2155,login,0,0
SF 3201,can't get laptop hdmi image on the tvs.,0,1
MY 360B,login,0,0
WB 119,login,0,0
SS 1074,"no image, tried to mirror",0,1
OI 8280,intercom still not working.,1,0
OI 8280,projector isn't turning on. called from: (647) 466-8047,0,0
MS 3278,ta login.,0,0
WB 119,no laptop hdmi image.,0,0
SS 2127,"no image, tried to mirror",0,1
SS 2110,tsjr disabled on its own.,0,0
OI 2295,could not hear or engage at all,0,0
OI 4426,"tm app won't work for this room. says disconnected, then gets stuck on ""command"" and ""intercom already in use"" when trying to speak",1,0
HS 705,no display,0,0
OI 8180,same intercom issue as oi 4426,0,0
AB 107,"""how do i get the overhead projector to turn on?""",0,0
SF 1105,resolved,0,0
SS 2135,touchscreen is off,0,1
KP 108,needs assistance setting up,0,1
OI 8200,"intercom call came in, but no audio coming thru",0,0
RW 143,"""i was having trouble accessing the thing, but it's working now""",0,0
KP 108,"""can you send someone down""",0,0
OI 5160,oise intercom issue,0,1
OI 2286,"wasn't getting a display, liz tried",0,1
SS 2127,no display,1,1
OI 5160,i hung up the call rather than trying to answer: too choppy,0,1
MC 252,wants to report broken glass,0,0
OI C154,intercom can't answer call,0,1
BA 2175,alarm coming thru over intercom,0,1
BA 1160,alarm coming in --- prof is calling asking what he should do,0,0
WB 130,all good.,0,0
RL 14190,station is off,0,0
SS 2135,touchscreen is frozen. wants the projector off and the mic cabinet unlocked.,1,0
PB 850,login plus lesson on how to use it,0,0
SS 2127,won't switch to hdmi.,0,0
BA B025,can't get image up,0,0
UC 161,forgot utorid password.,0,0
UC 144,self-resolved laptop image issue.,0,0
BA B024,can't get macbook image.,0,1
UC 244,needs help setting up,0,0
MY 430,"""how can we change the thermostat for this room?""",0,0
SS 2135,no mic volume,0,0
WB 130,"""i have the room pc selected, but i can't see anything from it""",0,0
WB 130,phantom call on talkmaster - no room # listed!,0,0
SS 1073,login,0,0
ES 4001,login,0,0
MY 330,intercom not working. can't hear anything.,0,1
AB 114,no image,0,0
MP 137,no light coming from projector,0,1
OI 8214,intercom not working. can't hear anything.,0,0
OI 8214,projector not coming on. called from: (437) 221-0971,0,1
OI 8214,intercom not working. can't hear anything.,0,0
WB 219,wanted to book occs,0,0
MY 490,engage,0,0
OI 3311,projector issue,0,1
OI 8201,projector issue,0,1
SF 1105,log in request,0,0
WW 126,projector is working,0,0
MY 350,not projecting,0,1
BF 315,log in for bf 323,0,0
MY 420,log in help and wants someone to replace keyboards in myhal because they don't have either periods or commas,1,0
BF 315,wanted to be logged in for bf 323 when they're already logged in,0,0
MC 102,screen is blinking,0,1
WO 20,wanted to know about the av assistance they booked,0,1
WO 20,wanted to know about the av assistance they booked for the second time after being told that one was on the way,0,1
AB 107,audio wasn't playing,0,0
WW 120,their screen just turned off for no reason and they are using room pc,0,1
WB 116,figured it out,0,0
BA 2185,laptop is not projecting,0,1
WB 116,on room pc but audio is not playing through speakers,0,1
HS 610,telling us the class is over but the projector is still on even though they are logged off,1,0
MY 350,projector issue,0,0
MY 320,can't connect laptop again,1,1
SF 3202,login,0,0
BA B024,no image,0,0
BA 1170,fa,0,0
BA 2179,fa,0,0
ES 4000,login,0,0
MY 360B,tv at the front of the room is not working,0,1
BA 2159,prof requesting a vga cable,0,1
ES B142,uoft electrician - es b142,0,0
WI 524,no audio - desktop pc,0,0
OI 3311,test,0,0
PB B150,enable,0,0
BA 2179,enable,0,0
SS 1070,image not sending to projector,0,0
MS 2158,called in via phone - wanted a walk through on how to send audio to room from room pc.,0,0
UC 144,no image,0,0
WB 130,login,0,0
MY 430,"convinced that the usb-c adapter is broken, can't get them to either understand or hear me through intercom",0,1
MR 6,tm e crash,0,0
WB 130,"""the hdmi cable is not working""",0,0
MY 430,jon testing,0,0
BF 214,image not sending to tv,0,0
IN 209,"room is freezing, have to wear coats",0,0
MY 360B,login,0,0
MY 315,first time user,0,0
MC 102,image not sending to projector,0,1
MC 102,following up,0,0
MR 6,tm e crash,0,0
BA 1190,login,0,0
LM 161,login,0,0
MY 320,touchscreen displaying black,0,1
MP 102,batteries,0,1
MY 360B,login,0,0
BA 1230,seeing wrong screen on projector,0,0
WB 119,projector not turning on,0,0
WO 25,"wireless internet not working, not really willing to have me help and want me to send someone",0,1
OI 2214,no display to projector,0,1
UC 261,can't send audio to room,0,0
UC A101,batteries,0,1
MC 102,batteries,0,1
SF 3202,enable,0,0
MY 360B,needs usb-c adapter,0,0
SS 1071,"""what's my utorid?""",0,0
